Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
3,2008,5.0,1,0,0,2148.0,136.0,1,9.0,5.2,3500
6,2017,5.0,1,0,3,2967.0,218.0,0,6.4,5.2,16490
0,2019,5.0,0,1,3,999.0,110.0,1,5.4,3.9,9700
0,2015,5.0,1,0,3,2987.0,258.0,0,7.4,5.1,32490
3,2016,5.0,1,0,3,1968.0,190.0,1,5.3,4.1,11980
6,2018,5.0,1,0,3,1995.0,231.0,2,5.1,4.0,21499
3,2013,5.0,0,0,3,1798.0,170.0,1,7.3,5.2,8290
4,2018,5.0,0,0,2,1991.0,245.0,0,9.7,6.6,26890
4,2019,5.0,1,0,2,2967.0,285.0,0,7.0,6.4,62951
4,2020,5.0,1,1,2,1598.0,115.0,1,4.8,3.9,14700
6,2019,5.0,1,1,3,1749.0,150.0,1,5.7,3.8,16999
6,2011,5.0,1,0,3,1968.0,140.0,1,6.3,4.5,9490
6,2012,5.0,0,1,0,1198.0,70.0,1,7.1,4.4,4099
4,2017,5.0,1,0,2,2400.0,190.0,0,6.7,5.1,18780
4,2011,4.0,0,1,2,1328.0,85.0,0,8.9,6.0,8450
2,2009,5.0,1,1,2,1997.0,136.0,0,8.1,5.4,5650
6,2008,5.0,1,1,0,1995.0,143.0,2,5.5,3.9,3750
3,2011,5.0,1,0,2,2143.0,204.0,0,4.3,3.3,10950
0,2018,5.0,1,0,3,1968.0,190.0,0,5.9,4.6,16500
6,2018,5.0,2,0,2,1798.0,98.0,1,3.4,4.1,19989
5,2014,5.0,1,0,0,1968.0,150.0,1,5.2,4.0,10700
5,2018,5.0,1,0,1,2298.0,190.0,0,8.7,5.9,29800
6,2018,5.0,1,0,2,1995.0,190.0,0,6.1,5.3,28449
4,2010,5.0,0,1,3,1598.0,110.0,1,8.8,5.3,4750
0,2019,5.0,0,1,2,1199.0,81.0,1,6.4,4.4,11099
6,2020,5.0,1,0,3,1597.0,122.0,2,4.9,3.8,19300
6,2011,5.0,1,0,2,1968.0,177.0,0,7.0,5.3,13490
6,2015,7.0,1,1,1,1686.0,125.0,1,6.1,4.5,6490
0,2013,5.0,1,1,3,1598.0,105.0,1,5.2,3.5,8300
6,2018,7.0,0,1,1,1197.0,115.0,1,6.6,4.8,9850
0,2018,2.0,1,1,1,2143.0,163.0,2,7.4,6.2,17988
1,2020,5.0,1,0,2,1950.0,245.0,0,6.8,5.0,58200
1,2020,5.0,1,0,3,1995.0,150.0,2,5.9,4.1,27990
6,2016,5.0,1,0,3,1968.0,150.0,1,5.3,4.1,14198
4,2018,5.0,1,0,0,1461.0,116.0,1,4.5,3.9,21499
0,2018,5.0,1,0,1,2143.0,136.0,0,5.9,4.5,11350
7,2016,5.0,0,1,2,1598.0,115.0,1,8.4,5.4,9990
5,2019,5.0,0,0,2,3982.0,585.0,0,17.1,12.9,155000
2,2014,5.0,1,0,2,2993.0,313.0,0,7.2,5.8,20000
0,2017,5.0,1,0,3,1598.0,130.0,1,4.8,3.9,8999
2,2019,5.0,1,0,2,2925.0,330.0,0,8.4,5.9,78000
1,2014,5.0,1,0,3,1598.0,105.0,1,4.6,3.5,7200
4,2015,7.0,1,0,1,1598.0,160.0,1,5.1,4.4,11950
0,2013,5.0,1,0,3,1968.0,177.0,1,5.7,4.4,12888
7,2018,5.0,2,0,2,1798.0,98.0,1,3.4,4.1,16900
6,2016,5.0,1,0,2,2400.0,220.0,0,6.7,5.1,18999
1,2007,5.0,0,1,3,1995.0,150.0,2,10.6,5.6,5300
4,2015,5.0,0,1,3,899.0,90.0,1,6.6,4.6,5990
6,2012,5.0,1,1,2,1968.0,140.0,1,6.2,4.7,12450
4,2020,5.0,0,0,2,2995.0,340.0,0,11.6,7.9,72758
4,2009,5.0,0,1,1,1984.0,150.0,1,9.7,6.1,5299
4,2018,5.0,0,1,0,1398.0,90.0,1,6.3,4.2,7290
4,2021,5.0,1,1,2,1461.0,115.0,0,4.9,4.5,17400
0,2019,5.0,1,0,2,1968.0,150.0,1,5.8,4.7,23990
6,2018,6.0,1,1,1,1461.0,110.0,1,5.3,4.0,10490
6,2011,5.0,1,0,2,1995.0,143.0,0,6.1,5.1,7700
6,2016,5.0,1,1,3,1498.0,120.0,1,4.3,3.4,8400
7,2017,5.0,0,1,3,998.0,73.0,1,6.6,4.6,4700
0,2019,5.0,0,0,3,1332.0,140.0,1,4.0,4.6,13690
6,2021,5.0,2,0,3,2995.0,340.0,0,13.9,6.4,60000
0,2018,5.0,1,0,2,1968.0,190.0,0,6.4,5.1,20990
3,2007,5.0,1,0,2,2967.0,240.0,0,14.1,8.6,5890
0,2019,5.0,1,1,0,1598.0,115.0,1,5.1,3.9,10489
6,2014,5.0,1,0,0,2967.0,204.0,1,6.0,4.7,10000
4,2021,5.0,0,0,3,3996.0,600.0,0,4.9,3.9,89964
0,2017,5.0,1,1,2,1560.0,114.0,0,5.6,4.7,11990
6,2007,5.0,0,1,0,1229.0,80.0,1,7.7,4.7,3199
1,2016,5.0,1,0,0,2143.0,177.0,0,5.8,4.5,13790
5,2019,5.0,1,0,2,2993.0,265.0,0,6.8,5.6,53939
6,2014,5.0,0,1,0,1242.0,69.0,1,6.2,4.2,6699
0,2017,3.0,1,1,3,2299.0,145.0,1,7.1,6.1,9900
0,2018,5.0,1,0,3,2993.0,313.0,0,6.4,4.9,31000
4,2016,5.0,1,0,0,1598.0,110.0,1,4.5,3.6,10990
1,2012,5.0,1,0,2,2967.0,204.0,0,7.7,6.1,8800
3,2013,5.0,1,1,2,1461.0,110.0,1,5.5,4.5,7950
1,2014,5.0,1,0,2,2993.0,381.0,0,7.6,6.2,22500
0,2017,5.0,1,1,3,1968.0,150.0,0,5.5,4.1,13078
6,2011,5.0,0,1,0,1197.0,105.0,1,6.5,4.5,4850
1,2015,5.0,1,1,3,1598.0,105.0,1,4.9,3.3,7390
6,2010,5.0,0,1,0,1242.0,60.0,1,6.8,4.3,3990
0,2021,5.0,1,0,2,1598.0,136.0,0,6.6,5.8,19989
0,2013,5.0,1,0,0,1968.0,150.0,1,5.2,4.0,7999
1,2020,5.0,0,1,0,999.0,125.0,1,4.1,3.5,11748
6,2022,5.0,2,0,2,1598.0,230.0,0,4.7,5.9,25850
0,2014,8.0,1,1,1,2198.0,155.0,1,7.3,6.1,14900
0,2020,5.0,2,0,0,1798.0,98.0,1,3.3,3.5,18499
0,2014,5.0,0,1,0,1197.0,110.0,1,6.2,4.2,9600
4,2019,5.0,0,1,0,999.0,65.0,1,5.9,4.1,9390
6,2017,7.0,1,0,1,2143.0,163.0,2,7.3,6.4,26700
6,2011,5.0,0,1,0,1197.0,105.0,1,6.1,4.2,5650
4,2019,5.0,1,0,2,1996.0,238.0,0,8.5,5.7,25990
6,2014,5.0,0,1,0,1362.0,120.0,1,7.9,4.7,4500
6,2021,5.0,2,0,3,1798.0,98.0,1,3.1,3.5,24500
4,2015,5.0,1,0,2,2967.0,258.0,0,6.9,5.9,23900
7,2021,5.0,2,0,2,1598.0,230.0,1,5.3,4.7,28490
6,2017,5.0,1,0,2,1968.0,150.0,0,6.8,5.3,17990
3,2014,5.0,1,1,3,1598.0,136.0,1,4.6,3.6,4650
0,2020,5.0,0,1,2,1499.0,150.0,1,7.8,5.3,17990
6,2016,5.0,1,0,3,1968.0,150.0,1,5.1,4.0,8499
3,2016,5.0,1,1,2,1461.0,110.0,1,5.5,4.5,7899
4,2010,4.0,1,1,1,1968.0,140.0,1,7.8,5.6,5990
4,2017,5.0,1,0,2,2967.0,272.0,0,6.2,5.4,20900
1,2019,5.0,1,0,2,2993.0,265.0,0,6.8,5.6,39990
4,2017,5.0,0,0,2,1197.0,115.0,1,6.5,5.2,16800
4,2016,5.0,1,0,2,2143.0,170.0,0,6.8,5.4,23999
6,2008,5.0,0,1,2,1997.0,140.0,0,10.4,6.3,3999
4,2020,5.0,1,0,0,1968.0,150.0,1,4.9,3.8,26500
4,2019,5.0,0,1,1,1598.0,102.0,1,8.3,6.0,13890
4,2013,5.0,1,0,4,2967.0,204.0,1,5.5,4.6,10900
6,2014,5.0,1,0,3,2993.0,258.0,0,7.2,5.3,16990
